timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1563539763332,pay,p141,,,,
1563571727863,enter,b3878,,diagnosis,,mobile
1563571807433,respond,q5346,,diagnosis,a,mobile
1563571814987,submit,b3878,,diagnosis,,mobile
1563571815073,enter,b2907,,diagnosis,,mobile
1563571858033,respond,q4375,,diagnosis,a,mobile
1563571862596,submit,b2907,,diagnosis,,mobile
1563571862687,enter,b3262,,diagnosis,,mobile
1563571885062,respond,q4730,,diagnosis,d,mobile
1563571889179,submit,b3262,,diagnosis,,mobile
1563571889250,enter,b3135,,diagnosis,,mobile
1563571932067,respond,q4603,,diagnosis,b,mobile
1563571936918,submit,b3135,,diagnosis,,mobile
1563571936997,enter,b4107,,diagnosis,,mobile
1563571952369,respond,q5575,,diagnosis,b,mobile
1563571957099,submit,b4107,,diagnosis,,mobile
1563571957190,enter,b210,,diagnosis,,mobile
1563571957810,play_audio,b210,0,diagnosis,,mobile
1563571975417,pause_audio,b210,17845,diagnosis,,mobile
1563571984377,erase_choice,q210,,diagnosis,a,mobile
1563571990383,respond,q210,,diagnosis,b,mobile
1563571995068,submit,b210,,diagnosis,,mobile
1563572045879,enter,b2996,,diagnosis,,mobile
1563572046583,respond,q4464,,diagnosis,d,mobile
1563572054600,submit,b2996,,diagnosis,,mobile
1563573017106,enter,e149,,review,,mobile
1563573018724,play_audio,b149,0,review,,mobile
1563573020983,pause_audio,b149,2149,review,,mobile
1563573021750,quit,e149,,review,,mobile
1563573023665,enter,e108,,review,,mobile
1563573024590,quit,e108,,review,,mobile
1563573027236,enter,e151,,review,,mobile
1563573031817,play_audio,b151,0,review,,mobile
1563573049047,pause_audio,b151,17034,review,,mobile
1563573050441,pause_audio,b151,17034,review,,mobile
1563573055185,quit,e151,,review,,mobile
1563573063342,enter,e187,,review,,mobile
1563573068861,play_audio,b187,0,review,,mobile
1563573084985,pause_audio,b187,15938,review,,mobile
1563573086892,quit,e187,,review,,mobile
1563573089046,enter,e5596,,review,,mobile
1563573090388,play_audio,b5596,0,review,,mobile
1563573108931,pause_audio,b5596,18319,review,,mobile
1563573138397,quit,e5596,,review,,mobile
1563573142106,enter,e163,,review,,mobile
1563573143118,play_audio,b163,0,review,,mobile
1563573160842,pause_audio,b163,17502,review,,mobile
1563573166105,pause_audio,b163,17502,review,,mobile
1563573167040,pause_audio,b163,17502,review,,mobile
1563573170070,play_audio,b163,12502,review,,mobile
1563573171123,play_audio,b163,0,review,,mobile
1563573171123,pause_audio,b163,13380,review,,mobile
1563573188820,pause_audio,b163,17505,review,,mobile
1563573199077,quit,e163,,review,,mobile
1565162632699,enter,l85,,archive,,mobile
1565162636337,play_video,l85,242,archive,,mobile
1565162640822,pause_video,l85,4668,archive,,mobile
1565162656730,play_video,l85,4740,archive,,mobile
1565162663968,pause_video,l85,5243,archive,,mobile
1565162665364,play_video,l85,5294,archive,,mobile
1565162675409,pause_video,l85,15265,archive,,mobile
1565162689238,play_video,l85,15330,archive,,mobile
1565162698185,pause_video,l85,22266,archive,,mobile
1565162698869,play_video,l85,18496,archive,,mobile
1565162700275,pause_video,l85,23275,archive,,mobile
1565162700409,play_video,l85,11052,archive,,mobile
1565162704432,pause_video,l85,14967,archive,,mobile
1565162716897,play_video,l85,15044,archive,,mobile
1565162729367,pause_video,l85,27460,archive,,mobile
1565162778880,play_video,l85,27571,archive,,mobile
1565162818562,pause_video,l85,67211,archive,,mobile
1565162854985,play_video,l85,67286,archive,,mobile
1565162884527,pause_video,l85,96761,archive,,mobile
1565162925450,play_video,l85,96833,archive,,mobile
1565162936046,pause_video,l85,107395,archive,,mobile
1565162953245,play_video,l85,107482,archive,,mobile
1565162956246,pause_video,l85,110448,archive,,mobile
1565162979770,play_video,l85,110515,archive,,mobile
1565162996004,pause_video,l85,125482,archive,,mobile
1565162997398,play_video,l85,122698,archive,,mobile
1565162998078,pause_video,l85,126484,archive,,mobile
1565162999218,play_video,l85,116564,archive,,mobile
1565163000646,pause_video,l85,117861,archive,,mobile
1565163023451,play_video,l85,117980,archive,,mobile
1565163041908,pause_video,l85,136414,archive,,mobile
1565163057443,play_video,l85,136486,archive,,mobile
1565163063412,pause_video,l85,142399,archive,,mobile
1565163082385,play_video,l85,142478,archive,,mobile
1565163105778,pause_video,l85,165772,archive,,mobile
1565163125025,play_video,l85,165891,archive,,mobile
1565163158855,pause_video,l85,199645,archive,,mobile
1565163165148,quit,l85,,archive,,mobile
1565163277277,enter,l84,,archive,,mobile
1565163285516,play_video,l84,0,archive,,mobile
1565163377691,pause_video,l84,92077,archive,,mobile
1565163407140,play_video,l84,92156,archive,,mobile
1565163418287,pause_video,l84,103242,archive,,mobile
1565163465209,play_video,l84,103309,archive,,mobile
1565163478928,pause_video,l84,117009,archive,,mobile
1565163533426,play_video,l84,117091,archive,,mobile
1565163603090,pause_video,l84,186641,archive,,mobile
1565163604146,quit,l84,,archive,,mobile
1565163609661,enter,l85,,archive,,mobile
1565163615901,play_video,l85,0,archive,,mobile
1565163645990,pause_video,l85,28885,archive,,mobile
1565163648944,quit,l85,,archive,,mobile
1565163649018,enter,l219,,archive,,mobile
1565163652827,play_video,l219,0,archive,,mobile
1565163682629,pause_video,l219,26848,archive,,mobile
1565163684252,play_video,l219,18506,archive,,mobile
1565163686271,pause_video,l219,20464,archive,,mobile
1565163691207,play_video,l219,20530,archive,,mobile
1565163728053,pause_video,l219,55523,archive,,mobile
1565163728989,play_video,l219,51641,archive,,mobile
1565163729667,pause_video,l219,52232,archive,,mobile
1565163730048,play_video,l219,52295,archive,,mobile
1565163732867,pause_video,l219,55052,archive,,mobile
1565163733750,play_video,l219,55165,archive,,mobile
1565163734218,pause_video,l219,55622,archive,,mobile
1565163774295,play_video,l219,55673,archive,,mobile
1565163781292,pause_video,l219,62586,archive,,mobile
1565163839192,play_video,l219,62720,archive,,mobile
1565163848035,pause_video,l219,71511,archive,,mobile
1565163871748,play_video,l219,71582,archive,,mobile
1565163880126,pause_video,l219,79916,archive,,mobile
1565163896128,play_video,l219,79984,archive,,mobile
1565163907374,pause_video,l219,91182,archive,,mobile
1565163944106,play_video,l219,91260,archive,,mobile
1565163955372,pause_video,l219,102479,archive,,mobile
1565163965168,play_video,l219,102547,archive,,mobile
1565163968708,pause_video,l219,106043,archive,,mobile
1565163998614,play_video,l219,106132,archive,,mobile
1565164104349,pause_video,l219,211765,archive,,mobile
1565164107683,play_video,l219,165929,archive,,mobile
1565164109044,pause_video,l219,210128,archive,,mobile
1565164109226,play_video,l219,144624,archive,,mobile
1565164142473,pause_video,l219,176295,archive,,mobile
1565164142772,play_video,l219,160937,archive,,mobile
1565164144028,pause_video,l219,176295,archive,,mobile
1565164144144,play_video,l219,149697,archive,,mobile
1565164206648,pause_video,l219,211765,archive,,mobile
1565164207963,quit,l219,,archive,,mobile
1565164229461,enter,l219,,archive,,mobile
1565164232893,play_video,l219,0,archive,,mobile
1565164234222,pause_video,l219,845,archive,,mobile
1565164234568,play_video,l219,1091,archive,,mobile
1565164247748,pause_video,l219,14194,archive,,mobile
1565164248313,quit,l219,,archive,,mobile
1565164252182,enter,l220,,archive,,mobile
1565164255925,play_video,l220,0,archive,,mobile
1565164365364,pause_video,l220,106940,archive,,mobile
1565164365667,play_video,l220,97059,archive,,mobile
1565164406358,pause_video,l220,137621,archive,,mobile
1565164407897,play_video,l220,137727,archive,,mobile
1565164408913,pause_video,l220,138729,archive,,mobile
1565164428551,play_video,l220,138798,archive,,mobile
1565164521225,pause_video,l220,231363,archive,,mobile
1565164523704,quit,l220,,archive,,mobile
1565164537402,enter,l218,,archive,,mobile
